% Auto-generated file for SIRS Project
% Date: Wed Dec 11 17:15:37 WET 2013
%
@RELATION virus

@ATTRIBUTE Nice NUMERIC
@ATTRIBUTE Priority NUMERIC
@ATTRIBUTE Processor NUMERIC
@ATTRIBUTE Threads NUMERIC
@ATTRIBUTE Tty NUMERIC
@ATTRIBUTE State NUMERIC
@ATTRIBUTE CPU_usage NUMERIC
@ATTRIBUTE CPU_idle NUMERIC
@ATTRIBUTE TIME_total NUMERIC
@ATTRIBUTE TIME_user NUMERIC
@ATTRIBUTE TIME_sys NUMERIC
@ATTRIBUTE MEM_Size NUMERIC
@ATTRIBUTE MEM_Resident NUMERIC
@ATTRIBUTE MEM_Share NUMERIC
@ATTRIBUTE MEM_Available NUMERIC
@ATTRIBUTE MEM_Used NUMERIC
@ATTRIBUTE Root? NUMERIC
@ATTRIBUTE Known? NUMERIC
@ATTRIBUTE Webcam? NUMERIC
@ATTRIBUTE Internet? NUMERIC
@ATTRIBUTE class {true,false}

@DATA
0,20,0,1,0,83,0.0,88.63636363636364,1780,360,1420,4136960,1855488,1146880,683528192,366940160,1,1,0,0,false
0,20,0,1,0,83,0.0,88.63636363636364,20,0,20,0,0,0,683528192,366940160,1,1,0,0,false
0,20,0,1,0,83,0.0,88.63636363636364,1930,0,1930,0,0,0,683528192,366940160,1,1,0,0,false
-20,0,0,1,0,83,0.0,88.63636363636364,0,0,0,0,0,0,683528192,366940160,1,1,0,0,false
0,-100,0,1,0,83,0.0,88.63636363636364,0,0,0,0,0,0,683528192,366940160,1,1,0,0,false
0,20,0,1,0,83,0.0,88.63636363636364,0,0,0,0,0,0,683528192,366940160,1,1,0,0,false
0,20,0,1,0,83,0.0,88.63636363636364,1060,0,1060,0,0,0,683528192,366940160,1,1,0,0,false
0,-100,0,1,0,83,0.0,88.63636363636364,2770,0,2770,0,0,0,683528192,366940160,1,1,0,0,false
-20,0,0,1,0,83,0.0,88.63636363636364,0,0,0,0,0,0,683528192,366940160,1,1,0,0,false
0,20,0,1,0,83,0.0,88.63636363636364,0,0,0,0,0,0,683528192,366940160,1,1,0,0,false
-20,0,0,1,0,83,0.0,88.63636363636364,0,0,0,0,0,0,683528192,366940160,1,1,0,0,false
-20,0,0,1,0,83,0.0,88.63636363636364,0,0,0,0,0,0,683528192,366940160,1,1,0,0,false
-20,0,0,1,0,83,0.0,88.63636363636364,0,0,0,0,0,0,683528192,366940160,1,1,0,0,false
-20,0,0,1,0,83,0.0,88.63636363636364,0,0,0,0,0,0,683528192,366940160,1,1,0,0,false
